UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
CAMACARI;SIM;0050;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0051;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0052;;;;;2;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0053;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0055;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;0058;;;;;2;16;14;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;0059;;;;;1;16;14;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0063;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0064;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0066;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0068;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0072;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0097;;;;;1;2;1;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0105;;;;;1;2;1;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0155;;;;;2;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0157;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0156;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
