UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
FEIRA DE SANTANA SUL;SIM;0122;;;;;1;5;4;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0123;;;;;3;5;4;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0124;;;;;3;5;4;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0125;;;;;1;5;4;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0126;;;;;1;5;4;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0127;;;;;1;5;4;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0128;;;;;1;5;4;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0456;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0458;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0459;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0463;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0464;;;;;2;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0468;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0255;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0256;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0257;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0258;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0259;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0260;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0261;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0263;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0264;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0534;;;;;1;2;1;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0284;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0285;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0289;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0290;;;;;5;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0291;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0292;;;;;1;4;3;500;2500;500;BAIXA MIX;EPS;1,0;2,0;0,0;;
