UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
ALAGOINHAS;SIM;0001;;;;;3;12;11;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0002;;;;;2;12;11;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0003;;;;;2;12;11;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0004;;;;;2;12;11;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0005;;;;;2;15;14;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0006;;;;;1;15;14;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0010;;;;;1;15;14;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0011;;;;;2;15;14;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0012;;;;;1;15;14;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BARREIRAS;SIM;0016;;;;;3;8;7;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BARREIRAS;SIM;0020;;;;;1;8;7;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BARREIRAS;SIM;0022;;;;;1;8;7;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0024;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0028;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0030;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0032;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0033;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BRUMADO;SIM;0035;;;;;1;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BRUMADO;SIM;0040;;;;;1;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BRUMADO;SIM;0044;;;;;1;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0050;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0051;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0052;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0053;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;0058;;;;;2;25;22;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;0059;;;;;3;25;22;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0063;;;;;1;9;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0065;;;;;1;9;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0068;;;;;1;9;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0072;;;;;1;9;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0074;;;;;1;9;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ESPLANADA;SIM;0077;;;;;2;14;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ESPLANADA;SIM;0078;;;;;2;14;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ESPLANADA;SIM;0079;;;;;1;14;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ESPLANADA;SIM;0081;;;;;1;14;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ESPLANADA;SIM;0082;;;;;1;14;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ESPLANADA;SIM;0083;;;;;1;14;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0085;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0086;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0087;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0088;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0090;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0092;;;;;2;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0093;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0102;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0105;;;;;1;20;18;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0106;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0107;;;;;2;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0108;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0109;;;;;2;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0112;;;;;2;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0115;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0116;;;;;2;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0117;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0121;;;;;1;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0122;;;;;3;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0123;;;;;2;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0124;;;;;2;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0125;;;;;2;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0127;;;;;1;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0128;;;;;1;15;13;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0129;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0130;;;;;7;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0131;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0133;;;;;3;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0134;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0135;;;;;3;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0136;;;;;2;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GRACA;SIM;0137;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GUANAMBI;SIM;0138;;;;;1;11;9;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GUANAMBI;SIM;0139;;;;;1;11;9;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GUANAMBI;SIM;0142;;;;;1;11;9;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
GUANAMBI;SIM;0148;;;;;1;11;9;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0154;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0155;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0169;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0156;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0162;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0166;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
