UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
SANTO AMARO;SIM;;;;;;5;1;1;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
BRUMADO;SIM;;;;;;1;17;16;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
GUANAMBI;SIM;;;;;;1;10;9;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;;;;;;2;15;14;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;;;;;;1;5;4;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
VALENCA;SIM;;;;;;2;15;14;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;;;;;;5;3;3;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;;;;;;3;5;4;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;;;;;;2;10;9;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
ITAPOAN;SIM;;;;;;2;7;7;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
PERIPERI;SIM;;;;;;2;6;5;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
PIRAJA;SIM;;;;;;2;9;9;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
PITUBA;SIM;;;;;;2;14;13;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;;;;;;1;18;17;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
ILHEUS;SIM;;;;;;1;25;22;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
PORTO SEGURO;SIM;;;;;;1;18;16;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
TEIXEIRA DE FREITAS;SIM;;;;;;1;16;14;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
