UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
ALAGOINHAS;SIM;0001;;;;;3;10;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0002;;;;;2;10;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0003;;;;;2;10;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0004;;;;;2;10;8;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0005;;;;;2;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0006;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0010;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0011;;;;;2;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
AMARGOSA;SIM;0012;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BARREIRAS;SIM;0016;;;;;3;8;7;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BARREIRAS;SIM;0018;;;;;1;8;7;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BARREIRAS;SIM;0020;;;;;1;8;7;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BARREIRAS;SIM;0021;;;;;1;8;7;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0024;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0028;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0030;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0032;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0033;;;;;1;6;5;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BRUMADO;SIM;0035;;;;;1;4;3;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BRUMADO;SIM;0040;;;;;1;4;3;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
BRUMADO;SIM;0044;;;;;1;4;3;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ESPLANADA;SIM;0077;;;;;2;11;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
