UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
CAMACARI;SIM;0050;;;;;1;13;11;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0052;;;;;1;13;11;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0055;;;;;1;13;11;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;0056;;;;;1;13;11;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;0058;;;;;3;10;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;0059;;;;;2;10;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0061;;;;;1;5;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0065;;;;;1;5;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0068;;;;;1;5;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0072;;;;;1;5;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0074;;;;;1;5;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0076;;;;;1;5;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0085;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0087;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0088;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0105;;;;;2;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0107;;;;;2;7;6;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0108;;;;;2;7;6;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0109;;;;;2;7;6;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0110;;;;;1;7;6;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0116;;;;;1;7;6;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0121;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0122;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0123;;;;;3;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0124;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0125;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0126;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0127;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0128;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0154;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0155;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0156;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0161;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0164;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0168;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0160;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0170;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0171;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
ITAPETINGA;SIM;0238;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
ITAPETINGA;SIM;0241;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
ITAPETINGA;SIM;0249;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
ITAPETINGA;SIM;0245;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
ITAPETINGA;SIM;0244;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0255;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0256;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0257;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0258;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0259;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0260;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0261;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0262;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0263;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0264;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JACOBINA;SIM;0534;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0284;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0285;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0286;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0287;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0288;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0290;;;;;2;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0291;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JUAZEIRO;SIM;0292;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0293;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0294;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0295;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0296;;;;;1;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
