UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
CAMACARI;SIM;0050;;;;;1;15;13;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;6
CAMACARI;SIM;0052;;;;;1;15;13;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;6
CAMACARI;SIM;0055;;;;;1;15;13;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;6
CANDEIAS;SIM;0059;;;;;2;12;11;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;8
CONCEICAO DO COITE;SIM;0062;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
CONCEICAO DO COITE;SIM;0064;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
CONCEICAO DO COITE;SIM;0067;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
CONCEICAO DO COITE;SIM;0068;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
CONCEICAO DO COITE;SIM;0072;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
CONCEICAO DO COITE;SIM;0076;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
EUNAPOLIS;SIM;0085;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
EUNAPOLIS;SIM;0087;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
EUNAPOLIS;SIM;0088;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
EUNAPOLIS;SIM;0097;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
EUNAPOLIS;SIM;0099;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
FEIRA DE SANTANA NORTE;SIM;0106;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA NORTE;SIM;0107;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA NORTE;SIM;0108;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA NORTE;SIM;0109;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA NORTE;SIM;0110;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA NORTE;SIM;0111;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA NORTE;SIM;0112;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA SUL;SIM;0122;;;;;1;9;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA SUL;SIM;0123;;;;;3;9;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA SUL;SIM;0124;;;;;3;9;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA SUL;SIM;0125;;;;;1;9;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA SUL;SIM;0126;;;;;1;9;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA SUL;SIM;0127;;;;;1;9;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
FEIRA DE SANTANA SUL;SIM;0128;;;;;1;9;8;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;4
IBOTIRAMA;SIM;0154;;;;;1;3;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
IBOTIRAMA;SIM;0155;;;;;1;3;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
IBOTIRAMA;SIM;0159;;;;;1;3;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
IBOTIRAMA;SIM;0161;;;;;1;3;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;2
