UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
ALAGOINHAS;SIM;0001;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0004;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
AMARGOSA;SIM;0005;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
AMARGOSA;SIM;0011;;;;;1;18;16;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0013;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0016;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0018;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0019;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0014;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0023;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0030;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0034;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0029;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0028;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0031;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0037;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0046;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0044;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0041;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0048;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0047;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
CAMACARI;SIM;0050;;;;;2;16;14;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
CAMACARI;SIM;0051;;;;;1;16;14;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
CAMACARI;SIM;0052;;;;;1;16;14;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
CANDEIAS;SIM;0058;;;;;1;9;8;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
CANDEIAS;SIM;0059;;;;;1;9;8;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0064;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0065;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0072;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0073;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0078;;;;;2;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0077;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0079;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0081;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0083;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0085;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0099;;;;;1;14;12;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0108;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0109;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0112;;;;;2;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0113;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0115;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0106;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0107;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0122;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0124;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
GRACA;SIM;0132;;;;;2;19;17;3000;9000;200;CONVENCIONAL;STC;1,0;2,0;0,0;;
GRACA;SIM;0133;;;;;1;19;17;3000;9000;200;CONVENCIONAL;STC;1,0;2,0;0,0;;
GRACA;SIM;0134;;;;;1;19;17;3000;9000;200;CONVENCIONAL;STC;1,0;2,0;0,0;;
GUANAMBI;SIM;0138;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
GUANAMBI;SIM;0140;;;;;2;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0154;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0168;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0158;;;;;1;16;14;7000;14000;1000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0169;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0160;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0163;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0166;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0178;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0180;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0183;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IPIAU;SIM;0188;;;;;1;19;17;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
IPIAU;SIM;0189;;;;;1;16;14;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0194;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0197;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0200;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0203;;;;;3;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0205;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0198;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0201;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0193;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0207;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0211;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABERABA;SIM;0213;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABERABA;SIM;0215;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABERABA;SIM;0217;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABERABA;SIM;0216;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABERABA;SIM;0219;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0236;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0228;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0231;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0232;;;;;1;18;16;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPETINGA;SIM;0240;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPETINGA;SIM;0241;;;;;1;9;8;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPETINGA;SIM;0242;;;;;1;9;8;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPETINGA;SIM;0238;;;;;1;9;8;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPETINGA;SIM;0239;;;;;1;9;8;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPETINGA;SIM;0248;;;;;1;9;8;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPETINGA;SIM;0246;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ITAPOAN;SIM;0252;;;;;4;21;19;15000;27000;6000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JACOBINA;SIM;0257;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JACOBINA;SIM;0258;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JACOBINA;SIM;0259;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JACOBINA;SIM;0261;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JEQUIE;SIM;0265;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JEQUIE;SIM;0270;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JEQUIE;SIM;0273;;;;;2;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JEQUIE;SIM;0278;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JEQUIE;SIM;0281;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0284;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0290;;;;;2;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0291;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0292;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0293;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0294;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0295;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LAURO DE FREITAS;SIM;0298;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LIVRAMENTO DE NOSSA SENHORA;SIM;0300;;;;;1;11;10;8000;14000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LIVRAMENTO DE NOSSA SENHORA;SIM;0305;;;;;1;11;10;8000;14000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LIVRAMENTO DE NOSSA SENHORA;SIM;0307;;;;;1;11;10;8000;14000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LIVRAMENTO DE NOSSA SENHORA;SIM;0308;;;;;1;11;10;8000;14000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LIVRAMENTO DE NOSSA SENHORA;SIM;0310;;;;;2;11;10;8000;14000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LUIS EDUARDO MAGALHAES;SIM;0317;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LUIS EDUARDO MAGALHAES;SIM;0323;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LUIS EDUARDO MAGALHAES;SIM;0319;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LUIS EDUARDO MAGALHAES;SIM;0320;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
LUIS EDUARDO MAGALHAES;SIM;0316;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0341;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0328;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0331;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0337;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0330;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
