UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
ALAGOINHAS;SIM;0001;;;;;2;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0004;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0002;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0003;;;;;1;6;5;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
AMARGOSA;SIM;0005;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
AMARGOSA;SIM;0007;;;;;1;17;15;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
AMARGOSA;SIM;0010;;;;;1;15;13;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
AMARGOSA;SIM;0011;;;;;1;18;16;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
AMARGOSA;SIM;0012;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0013;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0016;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0017;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0018;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0020;;;;;2;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0021;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BARREIRAS;SIM;0022;;;;;2;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0023;;;;;2;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0024;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0030;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0033;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0025;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0029;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0027;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BOM JESUS DA LAPA;SIM;0031;;;;;1;9;8;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0037;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0046;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
