UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
ALAGOINHAS;SIM;0001;;;;;3;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ALAGOINHAS;SIM;0004;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0037;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0046;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0049;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
BRUMADO;SIM;0038;;;;;2;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
CAMACARI;SIM;0050;;;;;2;16;14;4000;9000;500;RECORTE;STC;1,0;2,0;0,0;;
CAMACARI;SIM;0051;;;;;2;16;14;4000;9000;500;RECORTE;STC;1,0;2,0;0,0;;
CAMACARI;SIM;0057;;;;;1;13;11;4000;9000;500;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0108;;;;;1;20;18;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0111;;;;;1;20;18;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0112;;;;;1;20;18;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0115;;;;;1;20;18;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0116;;;;;1;20;18;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0107;;;;;1;20;18;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0122;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0123;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0125;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
GUANAMBI;SIM;0138;;;;;1;13;11;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
GUANAMBI;SIM;0142;;;;;2;13;11;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0178;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0180;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0192;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0195;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0199;;;;;2;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0202;;;;;2;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0203;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0205;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0198;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0201;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0193;;;;;2;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0207;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IRECE;SIM;0211;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ITABERABA;SIM;0213;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0227;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0228;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0172;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0226;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ITABUNA;SIM;0232;;;;;1;18;16;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ITAPOAN;SIM;0250;;;;;1;21;19;15000;27000;6000;RECORTE;STC;1,0;2,0;0,0;;
ITAPOAN;SIM;0251;;;;;3;21;19;15000;27000;6000;RECORTE;STC;1,0;2,0;0,0;;
ITAPOAN;SIM;0252;;;;;1;21;19;15000;27000;6000;RECORTE;STC;1,0;2,0;0,0;;
JACOBINA;SIM;0257;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
JACOBINA;SIM;0258;;;;;2;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0284;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0290;;;;;3;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0292;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
JUAZEIRO;SIM;0286;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0324;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
PERIPERI;SIM;0347;;;;;3;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
PERIPERI;SIM;0348;;;;;2;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
PERIPERI;SIM;0349;;;;;1;19;17;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
PITUBA;SIM;0356;;;;;2;17;15;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0397;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0399;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0410;;;;;1;4;3;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
SANTO ANTONIO DE JESUS;SIM;0429;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
SEABRA;SIM;0437;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
SEABRA;SIM;0441;;;;;1;13;11;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
SEABRA;SIM;0442;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0453;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0450;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0454;;;;;1;17;15;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0499;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0509;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0523;;;;;1;13;11;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0506;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0508;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0503;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0519;;;;;1;11;10;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
