ZONA;TURMA;CARTEIRA;TOTAL_ESPERADO_MAPA;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DEFASAGEM_MAPA;DEFASAGEM_PROGRAMACAO;QTD_TURMAS;QTD_NOTAS;JUSTIFICATIVA;QTD_SUSCETIVEIS;VALOR_COBRAVEL;PECLD;TICKET_COBRAVEL;TICKET_PECLD
0001;STC;CORTE;16,0;24,0;23,0;1,0;-8,0;;;;;362,0;376027,22;75269,937742188;1038,7492265193368;207,92800481267403
0001;STC;RECORTE;32,0;32,0;22,0;10,0;0,0;;;;;2308,0;1936793,86;911290,156387135;839,1654506065859;394,83975580031847
0003;STC;CORTE;0,0;3,0;3,0;0,0;-3,0;;;;;85,0;94644,60999999999;22823,35339054;1113,466;268,5100398887059
0004;STC;CORTE;0,0;1,0;1,0;0,0;-1,0;;;;;58,0;51604,63999999999;19933,287111816;889,735172413793;343,6773639968276
0005;EPS;CORTE;20,0;20,0;0,0;20,0;0,0;;;;;81,0;72234,2;23297,540681428;891,7802469135802;287,6239590299753
0005;EPS;RECORTE;0,0;39,0;39,0;0,0;-39,0;;;;;90,0;105871,08999999998;60097,084097416;1176,3454444444442;667,7453788601778
0011;STC;CORTE;18,0;19,0;19,0;0,0;-1,0;;;;;726,0;553757,36;215714,618134776;762,7511845730028;297,1275731883967
0011;EPS;CORTE;20,0;20,0;0,0;20,0;0,0;;;;;726,0;553757,36;215714,618134776;762,7511845730028;297,1275731883967
0013;EPS;CORTE;6,0;6,0;0,0;6,0;0,0;;;;;24,0;16309,09;3849,188956784;679,5454166666667;160,38287319933335
0014;STC;CORTE;21,0;12,0;12,0;0,0;9,0;;;;;23,0;17032,56;4551,036132507;740,5460869565218;197,87113619595652
0016;STC;CORTE;21,0;21,0;21,0;0,0;0,0;;;;;99,0;141614,41;17864,819473186;1430,4485858585858;180,45272195137375
0017;STC;CORTE;21,0;10,0;10,0;0,0;11,0;;;;;24,0;25617,37;4476,852900746;1067,3904166666666;186,53553753108332
0018;STC;CORTE;21,0;22,0;20,0;2,0;-1,0;;;;;49,0;71139,98999999999;6894,132796489;1451,8365306122448;140,69658768344897
0018;EPS;CORTE;6,0;6,0;0,0;6,0;0,0;;;;;49,0;71139,98999999999;6894,132796489;1451,8365306122448;140,69658768344897
0020;STC;CORTE;21,0;22,0;22,0;0,0;-1,0;;;;;60,0;63542,23000000001;10683,022402754;1059,0371666666667;178,05037337923332
0020;EPS;CORTE;6,0;6,0;0,0;6,0;0,0;;;;;60,0;63542,23000000001;10683,022402754;1059,0371666666667;178,05037337923332
0022;EPS;CORTE;6,0;5,0;0,0;5,0;1,0;;;;;13,0;18884,04;3459,650867028;1452,6184615384616;266,1269897713846
0023;EPS;CORTE;8,0;8,0;0,0;8,0;0,0;;;;;118,0;115557,82;14722,236437298;979,303559322034;124,76471557032204
0024;STC;CORTE;16,0;14,0;14,0;0,0;2,0;;;;;72,0;49561,05;21419,274788677;688,3479166666667;297,48992762051387
0027;EPS;CORTE;4,0;3,0;0,0;3,0;1,0;;;;;6,0;3124,15;855,623153196;520,6916666666667;142,603858866
0028;STC;CORTE;16,0;13,0;13,0;0,0;3,0;;;;;40,0;27187,940000000002;11133,877826486;679,6985000000001;278,34694566215
0028;EPS;CORTE;4,0;4,0;0,0;4,0;0,0;;;;;40,0;27187,940000000002;11133,877826486;679,6985000000001;278,34694566215
0030;EPS;CORTE;4,0;4,0;0,0;4,0;0,0;;;;;17,0;27361,4;2581,404770404;1609,4941176470588;151,84733943552942
0031;STC;CORTE;16,0;17,0;17,0;0,0;-1,0;;;;;52,0;41044,74;8945,008235944;789,321923076923;172,01938915276924
0032;STC;CORTE;16,0;9,0;9,0;0,0;7,0;;;;;8,0;4501,0199999999995;1953,957375649;562,6274999999999;244,244671956125
0033;STC;CORTE;16,0;17,0;17,0;0,0;-1,0;;;;;67,0;39398,560000000005;9256,807022364;588,0382089552239;138,16129884125374
0033;EPS;CORTE;4,0;4,0;0,0;4,0;0,0;;;;;67,0;39398,560000000005;9256,807022364;588,0382089552239;138,16129884125374
0034;EPS;CORTE;4,0;4,0;0,0;4,0;0,0;;;;;37,0;32569,379999999997;8196,500495955;880,2535135135134;221,52704043121622
0037;STC;CORTE;11,0;7,0;5,0;2,0;4,0;;;;;11,0;14190,75;978,476479755;1290,0681818181818;88,95240725045454
