UTD;ZONA;CARTEIRA;TURMA;TOTAL_ESPERADO_MAPA;TOTAL_ESPERADO_ATENA;DATA_PEDIDO;DIA_SEMANA;FLAG_DEF
PERIPERI;347;CORTE;EPS;20,0;;2022-08-19;6;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-19;6;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-19;6;
SEABRA;441;CORTE;EPS;9,0;;2022-08-19;6;
BRUMADO;49;CORTE;STC;10,0;;2022-08-19;6;
BRUMADO;47;CORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;68;RECORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;64;CORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;72;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;78;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;77;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;80;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;83;CORTE;STC;10,0;;2022-08-19;6;
FEIRA DE SANTANA NORTE;107;CORTE;STC;10,0;;2022-08-19;6;
RIBEIRA DO POMBAL;399;CORTE;STC;10,0;;2022-08-19;6;
SERRINHA;459;RECORTE;STC;10,0;;2022-08-19;6;
SERRINHA;456;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;500;CORTE;STC;10,0;;2022-08-19;6;
PERIPERI;347;CORTE;EPS;20,0;;2022-08-22;2;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-22;2;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-22;2;
BRUMADO;44;CORTE;STC;10,0;;2022-08-22;2;
BRUMADO;48;CORTE;STC;10,0;;2022-08-22;2;
ESPLANADA;78;CORTE;STC;20,0;;2022-08-22;2;
PAULO AFONSO;341;RECORTE;STC;10,0;;2022-08-22;2;
RIBEIRA DO POMBAL;399;CORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;449;RECORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;449;CORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;445;CORTE;STC;10,0;;2022-08-22;2;
SERRINHA;456;RECORTE;STC;10,0;;2022-08-22;2;
SERRINHA;459;CORTE;STC;10,0;;2022-08-22;2;
VALENCA;494;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;500;CORTE;STC;10,0;;2022-08-22;2;
PERIPERI;347;CORTE;EPS;20,0;;2022-08-23;3;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-23;3;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-23;3;
CONCEICAO DO COITE;64;RECORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;72;RECORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;68;RECORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;64;CORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;72;CORTE;STC;10,0;;2022-08-23;3;
RIBEIRA DO POMBAL;399;CORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;445;RECORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;450;RECORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;449;CORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;445;CORTE;STC;10,0;;2022-08-23;3;
SERRINHA;456;CORTE;STC;10,0;;2022-08-23;3;
VALENCA;494;RECORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;519;RECORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;500;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;521;CORTE;STC;10,0;;2022-08-23;3;
CAMACARI;52;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;226;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;230;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;232;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;233;RECORTE;EPS;9,0;;2022-08-24;4;
ITAPETINGA;239;CORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;445;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;454;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;450;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;447;RECORTE;EPS;9,0;;2022-08-24;4;
RIBEIRA DO POMBAL;399;RECORTE;STC;10,0;;2022-08-24;4;
VITORIA DA CONQUISTA;519;RECORTE;STC;10,0;;2022-08-24;4;
VITORIA DA CONQUISTA;521;RECORTE;STC;10,0;;2022-08-24;4;
CAMACARI;50;RECORTE;EPS;36,0;;2022-08-25;5;
CAMACARI;52;RECORTE;EPS;18,0;;2022-08-25;5;
CAMACARI;55;RECORTE;EPS;18,0;;2022-08-25;5;
JUAZEIRO;284;RECORTE;EPS;10,0;;2022-08-25;5;
JUAZEIRO;285;RECORTE;EPS;10,0;;2022-08-25;5;
JUAZEIRO;290;RECORTE;EPS;50,0;;2022-08-25;5;
JUAZEIRO;292;RECORTE;EPS;10,0;;2022-08-25;5;
LAURO DE FREITAS;293;RECORTE;EPS;20,0;;2022-08-25;5;
LAURO DE FREITAS;294;RECORTE;EPS;30,0;;2022-08-25;5;
LAURO DE FREITAS;295;RECORTE;EPS;10,0;;2022-08-25;5;
LAURO DE FREITAS;296;RECORTE;EPS;20,0;;2022-08-25;5;
LAURO DE FREITAS;298;RECORTE;EPS;30,0;;2022-08-25;5;
PERIPERI;347;CORTE;EPS;20,0;;2022-08-25;5;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-25;5;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-25;5;
PIRAJA;350;CORTE;EPS;9,0;;2022-08-25;5;
PIRAJA;352;CORTE;EPS;9,0;;2022-08-25;5;
PIRAJA;353;CORTE;EPS;27,0;;2022-08-25;5;
PIRAJA;355;CORTE;EPS;27,0;;2022-08-25;5;
VALENCA;490;CORTE;EPS;18,0;;2022-08-25;5;
VALENCA;493;CORTE;EPS;9,0;;2022-08-25;5;
VALENCA;494;CORTE;EPS;9,0;;2022-08-25;5;
VALENCA;495;CORTE;EPS;27,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;122;BAIXA;EPS;20,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;123;BAIXA;EPS;40,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;124;BAIXA;EPS;40,0;;2022-08-25;5;
JACOBINA;255;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;256;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;257;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;258;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;259;BAIXA;EPS;9,0;;2022-08-25;5;
