UTD;ZONA;TURMA;CARTEIRA;DATA_PEDIDO;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DIA_SEMANA;FLAG_DEF
VITORIA DA CONQUISTA;508;EPS;CORTE;2022-08-15;15;14;1;2;N
PIRAJA;350;STC;CORTE;2022-08-19;17;17;0;6;N
BOM JESUS DA LAPA;33;EPS;RECORTE;2022-08-17;6;6;0;4;N
GRACA;137;EPS;CORTE;2022-08-16;63;52;11;3;N
SENHOR DO BONFIM;447;STC;CORTE;2022-08-02;12;11;1;3;N
SERRINHA;458;EPS;CORTE;2022-08-15;20;20;0;2;N
IBOTIRAMA;163;EPS;CORTE;2022-08-19;7;7;0;6;N
CONCEICAO DO COITE;62;STC;CORTE;2022-08-18;11;11;0;5;N
ILHEUS;173;EPS;CORTE;2022-08-05;20;18;2;6;N
EUNAPOLIS;87;EPS;RECORTE;2022-08-17;3;2;1;4;N
BOM JESUS DA LAPA;29;EPS;CORTE;2022-08-15;5;5;0;2;N
LUIS EDUARDO MAGALHAES;313;EPS;CORTE;2022-08-19;6;6;0;6;N
PAULO AFONSO;332;STC;CORTE;2022-08-15;11;11;0;2;N
SENHOR DO BONFIM;446;STC;CORTE;2022-08-12;15;15;0;6;S
ITABUNA;184;EPS;RECORTE;2022-08-10;21;20;1;4;N
CANDEIAS;58;EPS;DISJUNTOR;2022-08-17;16;16;0;4;N
SENHOR DO BONFIM;445;EPS;CORTE;2022-08-12;5;5;0;6;N
PORTO SEGURO;371;EPS;CORTE;2022-08-04;8;8;0;5;N
ITABUNA;232;STC;CORTE;2022-08-11;16;16;0;5;N
JACOBINA;257;EPS;RECORTE;2022-08-04;9;9;0;5;N
JUAZEIRO;288;EPS;CORTE;2022-08-09;15;15;0;3;N
CONCEICAO DO COITE;76;EPS;CORTE;2022-08-08;10;10;0;2;N
GRACA;130;EPS;BAIXA;2022-08-25;21;17;4;5;S
JUAZEIRO;292;EPS;RECORTE;2022-08-11;8;8;0;5;N
GUANAMBI;146;EPS;CORTE;2022-08-11;7;7;0;5;N
ITABERABA;219;EPS;CORTE;2022-08-16;4;3;1;3;N
ITAPETINGA;247;STC;CORTE;2022-08-15;9;9;0;2;N
LAURO DE FREITAS;296;STC;CORTE;2022-08-25;15;15;0;5;S
RIBEIRA DO POMBAL;405;EPS;CORTE;2022-08-24;9;6;3;4;N
SERRINHA;459;EPS;CORTE;2022-08-03;5;5;0;4;N
IRECE;204;EPS;CORTE;2022-08-09;14;14;0;3;N
LIVRAMENTO DE NOSSA SENHORA;308;STC;CORTE;2022-08-05;9;0;9;6;N
BOM JESUS DA LAPA;31;STC;CORTE;2022-08-05;11;0;11;6;N
VITORIA DA CONQUISTA;510;STC;CORTE;2022-08-05;11;0;11;6;N
PIRAJA;350;EPS;CORTE;2022-08-05;17;0;17;6;N
POSTO DA MATA;388;EPS;RECORTE;2022-08-17;6;5;1;4;N
JUAZEIRO;289;STC;CORTE;2022-08-11;1;1;0;5;N
REMANSO;392;STC;RECORTE;2022-08-25;15;13;2;5;N
CAMACARI;53;EPS;CORTE;2022-08-24;19;18;1;4;N
VALENCA;491;EPS;CORTE;2022-08-19;14;14;0;6;N
JACOBINA;263;STC;CORTE;2022-08-19;16;16;0;6;N
SANTO AMARO;421;EPS;RECORTE;2022-08-03;18;17;1;4;N
ALAGOINHAS;3;EPS;RECORTE;2022-08-03;15;14;1;4;N
LAURO DE FREITAS;295;EPS;DISJUNTOR;2022-08-08;20;20;0;2;N
SERRINHA;456;STC;CORTE;2022-08-04;11;11;0;5;N
ITABUNA;184;EPS;BAIXA;2022-08-10;3;3;0;4;N
ILHEUS;183;EPS;CORTE;2022-08-08;20;20;0;2;N
VITORIA DA CONQUISTA;513;EPS;BAIXA;2022-08-05;17;16;1;6;N
ESPLANADA;80;STC;CORTE;2022-08-12;11;11;0;6;N
SERRINHA;459;EPS;RECORTE;2022-08-04;7;7;0;5;N
ESPLANADA;78;EPS;CORTE;2022-08-22;14;13;1;2;N
ITABERABA;215;EPS;CORTE;2022-08-15;4;4;0;2;N
ITAPOAN;254;EPS;CORTE;2022-08-09;24;23;1;3;N
RIBEIRA DO POMBAL;405;EPS;RECORTE;2022-08-25;9;7;2;5;N
JUAZEIRO;284;EPS;CORTE;2022-08-08;20;19;1;2;N
PIRAJA;351;STC;RECORTE;2022-08-08;17;15;2;2;N
CAMACARI;55;STC;CORTE;2022-08-12;15;15;0;6;S
ITABUNA;227;STC;CORTE;2022-08-22;16;16;0;2;N
JUAZEIRO;284;STC;CORTE;2022-08-22;9;9;0;2;N
JEQUIE;281;STC;CORTE;2022-08-02;11;11;0;3;N
SANTO ANTONIO DE JESUS;426;EPS;BAIXA;2022-08-11;15;15;0;5;N
BOM JESUS DA LAPA;33;EPS;BAIXA;2022-08-17;5;5;0;4;N
REMANSO;392;EPS;BAIXA;2022-08-11;12;7;5;5;N
JACOBINA;257;EPS;BAIXA;2022-08-04;5;4;1;5;N
JACOBINA;262;EPS;CORTE;2022-08-17;8;8;0;4;N
BOM JESUS DA LAPA;23;STC;RECORTE;2022-08-03;6;2;4;4;S
ALAGOINHAS;4;STC;RECORTE;2022-08-03;4;3;1;4;S
LUIS EDUARDO MAGALHAES;323;EPS;CORTE;2022-08-22;7;6;1;2;N
BARREIRAS;20;EPS;CORTE;2022-08-11;6;6;0;5;N
PERIPERI;348;EPS;BAIXA;2022-08-25;20;19;1;5;S
PAULO AFONSO;327;STC;CORTE;2022-08-24;15;15;0;4;S
