UTD;CONFIG
PIRAJA;D1
PITUBA;D1
SANTO AMARO;D0
FEIRA DE SANTANA NORTE;D0
ITABUNA;D1
ILHEUS;D1
GRACA;D1
ALAGOINHAS;D1
ITAPOAN;D1
VITORIA DA CONQUISTA;D0
ITABERABA;D1
IRECE;D1
CANDEIAS;D0
PORTO SEGURO;D1
REMANSO;D0
PERIPERI;D1
PAULO AFONSO;D1
JUAZEIRO;D0
LIVRAMENTO DE NOSSA SENHORA;D1
JACOBINA;D0
LAURO DE FREITAS;D0
TEIXEIRA DE FREITAS;D0
SANTO ANTONIO DE JESUS;D1
POSTO DA MATA;D1
ESPLANADA;D1
SEABRA;D1
AMARGOSA;D1
RIBEIRA DO POMBAL;D0
JEQUIE;D1
FEIRA DE SANTANA SUL;D0
BOM JESUS DA LAPA;D1
SANTA MARIA DA VITORIA;D1
IPIAU;D1
SERRINHA;D0
VALENCA;D1
LUIS EDUARDO MAGALHAES;D1
CAMACARI;D0
SENHOR DO BONFIM;D1
CONCEICAO DO COITE;D0
EUNAPOLIS;D0
BARREIRAS;D1
GUANAMBI;D1
BRUMADO;D1
ITAPETINGA;D0
IBOTIRAMA;D0
