BASE CLICK;ZONA;
ALAGOINHAS;0001;
POJUCA;0002;
CATU;0003;
INHAMBUPE;0004;
AMARGOSA;0005;
CASTRO ALVES;0006;
ELISIO MEDRADO;0007;
ITATIM;0010;
MUTUIPE;0011;
UBAIRA;0012;
ANGICAL;0013;
BAIANOPOLIS;0014;
CRISTOPOLIS;0015;
BARREIRAS SEDE SUL;0016;
ZONA RIO DE ONDAS;0017;
BARREIRAS BEIRA RIO - SERRA;0018;
BARREIRAS RIO BRANCO;0019;
BARREIRAS SEDE NORTE;0020;
COTEGIPE;0021;
WANDERLEY;0022;
BOM JESUS DA LAPA CENTRO-OESTE;0023;
BOM JESUS DA LAPA RURAL;0024;
BREJOLÂNDIA;0025;
CANAPOLIS;0026;
MATINA;0027;
RIACHO DE SANTANA;0028;
PARATINGA;0029;
SITIO DO MATO;0030;
SANTANA;0031;
TABOCAS DO BREJO VELHO;0032;
SERRA DO RAMALHO;0033;
SERRA DOURADA;0034;
ARACATU;0035;
BRUMADO RURAL LESTE;0036;
BARRA DA ESTIVA;0037;
TANHAÇU;0038;
CONTENDAS DO SINCORA;0039;
CACULÉ;0040;
IBIASSUCE;0041;
BRUMADO RURAL OESTE;0042;
BRUMADO RURAL NORTE;0043;
BRUMADO - CENTRO;0044;
GUAJERU;0045;
IBICOARA;0046;
ITUAÇU;0047;
LAGOA REAL;0048;
RIO DO ANTONIO;0049;
CAMAÇARI;0050;
AREMBEPE;0051;
MONTE GORDO;0052;
PRAIA DO FORTE;0053;
JORDAO;0054;
DIAS D AVILA;0055;
MATA DE SAO JOAO;0056;
MATA DE SAO JOAO RURAL;0057;
CANDEIAS II;0058;
CANDEIAS;0059;
ILHA DE MARÉ;0060;
CANDEIAS ILHAS;0533;
CANDEAL;0061;
CAPELA DO ALTO ALEGRE;0062;
NOVA FÁTIMA;0063;
CONCEICAO DO COITE II;0064;
CONCEIÇÃO DO COITÉ;0065;
ICHU;0066;
PE DE SERRA;0067;
SANTA LUZ;0068;
RETIROLANDIA;0069;
RETIROLANDIA II;0070;
SAO DOMINGOS;0071;
RIACHÃO DO JACUIPE;0072;
RIACHAO DO JACUIPE II;0073;
VALENTE;0074;
VALENTE II;0075;
TANQUINHO;0076;
ACAJUTIBA;0077;
ENTRE RIOS;0078;
CONDE-CENTRO;0079;
CONDE-SITIO;0080;
CONDE-BARRA DO ITARIRI;0081;
SUBAÚMA;0082;
ESPLANADA-CENTRO;0083;
ESPLANADA-BAIXIOS;0084;
EUNAPOLIS CENTRO URBANO;0085;
EUNAPOLIS LESTE;0086;
EUNAPOLIS NORTE;0087;
EUNAPOLIS OESTE;0088;
EUNAPOLIS SUL;0089;
EUNAPOLIS RURAL NORTE;0090;
EUNAPOLIS RURAL OESTE;0091;
ITABELA RURAL OESTE;0092;
ITABELA CENTRO URBANO;0093;
ITABELA RURAL LESTE;0094;
ITABELA RURAL SUL;0095;
TRANCOSO RURAL LESTE;0096;
ITAMARAJU CENTRO URBANO;0097;
ITAGIMIRIM;0098;
ITAMARAJU LESTE;0099;
ITAMARAJU;0100;
ITAMARAJU RURAL SUL;0101;
ITAMARAJU RURAL;0102;
ITAPEBI RURAL LESTE;0103;
